Gene > Primary SGDID	Gene > Systematic Name	Gene > Standard Name	Gene > Name	Gene > Alias	Gene > Length
S000000001	YAL001C	TFC3	Transcription Factor class C	FUN24 TSV115 tau 138	3573
S000000002	YAL002W	VPS8	Vacuolar Protein Sorting	VPL8 FUN15 VPT8	3825
S000000003	YAL003W	EFB1	Elongation Factor Beta	eEF1Balpha TEF5 EF-1beta	987
S000000004	YAL005C	SSA1	Stress-Seventy subfamily A	YG100 Hsp70 family ATPase SSA1	1929
S000000005	YAL007C	ERP2	Emp24p/Erv25p Related Protein	""	648
S000000006	YAL008W	FUN14	Function Unknown Now	""	597
S000000007	YAL009W	SPO7	SPOrulation	""	780
S000000008	YAL010C	MDM10	Mitochondrial Distribution and Morphology	FUN37	1482
S000000009	YAL011W	SWC3	SWr Complex	SWC1	1878
S000000010	YAL012W	CYS3	CYStathionine gamma-lyase	STR1 cystathionine gamma-lyase CYS3 FUN35 CYI1	1185
S000000011	YAL013W	DEP1	Disability in regulation of Expression of genes involved in Phospholipid biosynthesis	FUN54	1218
S000000012	YAL014C	SYN8	SYNtaxin	UIP2 SLT2	768
S000000013	YAL015C	NTG1	eNdonuclease Three-like Glycosylase	SCR1 bifunctional N-glycosylase/AP lyase NTG1 FUN33 ogg2	1200
S000000014	YAL016W	TPD3	tRNA Processing Deficient	FUN32	1908
S000000015	YAL017W	PSK1	Pas domain-containing Serine/threonine protein Kinase	FUN31	4071
S000000016	YAL018C	""	Lipid Droplets in Sporulation	""	978
S000000017	YAL019W	FUN30	Function Unknown Now	""	3396
S000000018	YAL020C	ATS1	Alpha Tubulin Suppressor	KTI13 FUN28	1002
S000000019	YAL021C	CCR4	Carbon Catabolite Repression	FUN27 NUT21	2514
S000000020	YAL022C	FUN26	Function Unknown Now	""	1554
S000000021	YAL023C	PMT2	Protein O-MannosylTransferase	FUN25	2280
S000000022	YAL024C	LTE1	Low Temperature Essential	MSI2	4308
S000000023	YAL025C	MAK16	MAintenance of Killer	""	921
S000000024	YAL026C	DRS2	Deficiency of Ribosomal Subunits	aminophospholipid-translocating P4-type ATPase DRS2 FUN38 SWA3	4068
S000000025	YAL027W	SAW1	Single-strand Annealing Weakened	""	786
S000000026	YAL028W	FRT2	Functionally Related to TCP1	HPH2	1587
S000000027	YAL029C	MYO4	MYOsin	FUN22 myosin 4 SHE1	4416
S000000028	YAL030W	SNC1	Suppressor of the Null allele of CAP	""	467
S000000029	YAL031C	GIP4	Glc7 Interacting Protein	FUN21	2283
