#chr	start	end	name	othernames	status
1	650	1791	ARS102	proARS102	Confirmed
1	6136	7136	ARS102.5	proARS103	Confirmed
1	7998	8548	ARS103	proARS103	Confirmed
1	9775	10485			Likely
1	16855	17565			Likely
1	30946	31184	ARS104	proARS104	Confirmed
1	40716	43300	ARS105	proARS105	Confirmed
1	70258	70491	ARS106	proARS106	Confirmed
1	98769	105769			Likely
1	124350	124599	ARS107	proARS107	Confirmed
1	136900	137900	ARS107.5		Confirmed
1	146703	147690	ARS108	proARS108	Confirmed
1	159906	160127	ARS109	ARS101, proARS109	Confirmed
1	162000	170000			Likely
1	176154	176402	ARS110	ADE1	Confirmed
1	197385	198095			Likely
1	202769	209769			Likely
1	214879	215635	ARS111	proARS111	Confirmed
1	222871	224037	ARS112		Confirmed
1	226100	227000	ARS113		Confirmed
1	229635	230208			Likely
2	39	686	ARS200		Confirmed
2	6123	7127	ARS201	proARS201	Confirmed
2	28933	29152	ARS201.5	ARS230	Confirmed
2	38623	39068	ARS201.7		Confirmed
2	63186	63421	ARS202	proARS202	Confirmed
2	70650	73350			Likely
2	80201	81401			Dubious
2	93410	93811	ARS203	proARS203	Confirmed
2	95377	97400		proARS204	Dubious
2	99765	100829		proARS205	Dubious
2	121302	136302			Dubious
2	142868	144016	ARS206	proARS206	Confirmed
2	170049	170298	ARS207	proARS207	Confirmed
2	177529	177877	ARS207.1	ARS207.3	Confirmed
2	187205	187915			Likely
2	198193	198434	ARS207.5	ARS231	Confirmed
2	209187	210063	ARS207.8		Confirmed
2	221842	236842			Dubious
2	237644	237879	ARS208	proARS208	Confirmed
2	238849	253849			Dubious
2	254890	255136	ARS209	ARSH4, proARS209	Confirmed
2	258430	259601		proARS210	Likely
2	262978	269978			Dubious
2	279083	279847			Dubious
2	283015	283913	ARS210.5		Confirmed
2	292854	294054			Dubious
2	296000	306000			Dubious
2	308406	309606			Dubious
2	326099	326335	ARS211	proARS211	Confirmed
2	341918	343118			Dubious
2	358898	373898			Dubious
2	378434	379194	ARS212	proARS212	Confirmed
2	389245	390368	ARS213	proARS213	Confirmed
2	407831	408064	ARS214	proARS214	Confirmed
2	417739	418035	ARS215	proARS215	Confirmed
2	440859	441697	ARS215.5		Confirmed
2	477783	479267			Dubious
2	486661	486909	ARS216	proARS216	Confirmed
2	497650	499350			Likely
2	503701	505102		proARS217	Likely
2	516805	517805	ARS217		Confirmed
2	539137	539699	ARS218	proARS218	Confirmed
2	543600	553600			Likely
2	582650	584350			Likely
2	591424	591713	ARS219	proARS219	Confirmed
2	611269	613200	ARS219.5		Confirmed
2	622625	622894	ARS220	proARS220	Confirmed
2	627135	627845			Likely
2	631934	632246	ARS221	proARS221	Confirmed
2	675947	676667	ARS221.5		Confirmed
2	687531	702531			Dubious
2	704250	704521	ARS222	proARS222	Confirmed
2	707158	708262	ARS222.5		Confirmed
2	720601	721038	ARS223	proARS223	Confirmed
2	724546	739546			Dubious
2	741512	741802	ARS224	proARS224	Confirmed
2	757390	757621	ARS225	proARS225	Confirmed
2	760355	761713		proARS226	Likely
2	773918	774348	ARS227	proARS227	Confirmed
2	792116	792340	ARS228	proARS228	Confirmed
2	796259	797162	ARS228.5		Confirmed
2	801930	802617	ARS229	proARS229	Confirmed
2	810493	813067			Dubious
3	837	1551	ARS300	X-ARS, proARS300	Confirmed
3	3814	5892		proARS300.5	Dubious
3	11145	11401	ARS301	proARS301	Confirmed
3	11303	14854	ARS302	proARS301, proARS302, proARS303/proARS320	Confirmed
3	14574	14849	ARS302	proARS302, proARS303/proARS320	Confirmed
3	14870	15213	ARS303	proARS302, proARS303/proARS320	Confirmed
3	15213	16274	ARS320	proARS302, proARS303/proARS320	Confirmed
3	30199	30657	ARS304		Confirmed
3	39158	39706	ARS305	ARS A6C, proARS305	Confirmed
3	53807	55007			Dubious
3	74457	74677	ARS306		Confirmed
3	81000	89000			Dubious
3	108775	109291	ARS307	ARS C2G1, proARS307	Confirmed
3	114314	114933	ARS308		Confirmed
3	131978	132322	ARS309	ARS J11D1, proARS309	Confirmed
3	137843	138897			Dubious
3	138948	153948			Dubious
3	159363	166363			Dubious
3	166494	167340	ARS310	proARS310	Confirmed
3	192527	193643		proARS313	Dubious
3	194256	194505	ARS313		Confirmed
3	197369	197601	ARS314	proARS314	Confirmed
3	199935	200645			Likely
3	203876	207534	ARS314.5		Confirmed
3	222963	224792		proARS315	Dubious
3	224807	225053	ARS315		Confirmed
